Data Storage (GB),Software Licenses,Type of machine,GPU,File import,Export file size (MB),Time period,Cost in pounds
750,Speech Services,64_256,None,No,2000,18,77739.367
100,Text Analytics,4_16,NV12,Yes,5000,3,7639.5109
50,None,8_32,NV12,Yes,5000,3,5086.0218
750,Speech Services,32_128,NV12s v3,No,1000,18,61088.9994
750,Face,64_256,NV12,No,100,3,50313.5295
1000,Face,4_16,NC12,No,2000,18,60465.0654
500,Face,64_256,NV12,Yes,0,6,41795.609
250,Immersive Reader,4_16,NC12,No,100,6,16287.6918
1000,Text Analytics,64_256,NC12 Promo,No,1000,18,92636.447
100,Speaker,4_16,NC12 Promo,Yes,500,6,6959.9818
50,Face,64_256,NV12,Yes,500,12,5613.5321
50,Immersive Reader,4_16,NV12,Yes,0,18,6297.6154
100,None,16_64,NV12,Yes,500,18,14707.1278
750,None,32_128,None,No,2000,3,45852.1849
50,Speaker,64_256,None,Yes,100,6,14477.279
750,Immersive Reader,16_64,NV12,Yes,500,3,45758.4413
750,Immersive Reader,8_32,NC12 Promo,No,500,3,44158.6618
750,Text Analytics,4_16,NC12,No,500,12,44349.5304
500,Face,64_256,NC12 Promo,Yes,5000,12,30404.8621
250,None,16_64,NC12,Yes,1000,6,18140.1626
500,Text Analytics,16_64,NV12,No,1000,3,31447.3313
500,None,32_128,NV12,Yes,1000,12,30794.7887
1000,Text Analytics,16_64,NV12s v3,No,0,12,58228.7516
1000,None,64_256,NV12s v3,No,5000,6,69613.179
1000,Immersive Reader,32_128,NV12s v3,No,5000,3,60923.8149
750,Face,8_32,NC12,Yes,500,12,44412.5108
750,None,32_128,NV12,Yes,500,3,47417.8049
250,Immersive Reader,8_32,NV12s v3,No,1000,6,16317.2236
750,Speaker,8_32,NC12 Promo,No,1000,12,43675.0308
50,Immersive Reader,64_256,None,Yes,5000,12,4058.1521
50,Text Analytics,64_256,NV12s v3,Yes,5000,18,38426.117
500,None,32_128,None,Yes,5000,6,34447.0498
750,Speaker,8_32,NV12s v3,Yes,500,12,43824.5608
750,Speaker,16_64,NC12 Promo,Yes,2000,6,46025.4126
250,Speech Services,16_64,NC12,Yes,0,6,18122.5726
250,Speech Services,64_256,NV12,Yes,500,18,50685.117
100,Speech Services,32_128,NV12,Yes,0,3,10200.3449
250,Speaker,8_32,NC12,Yes,0,6,16906.1636
1000,None,32_128,None,No,5000,24,80459.9192
100,Text Analytics,32_128,NC12 Promo,No,100,3,9221.5749
250,None,4_16,NC12,Yes,1000,3,15983.9909
100,Immersive Reader,16_64,NC12,Yes,1000,3,8329.0113
50,Immersive Reader,64_256,None,No,1000,36,3659.7481
500,Immersive Reader,16_64,NV12,No,2000,12,30468.5216
1000,Face,16_64,None,No,0,24,67101.2404
100,Text Analytics,8_32,None,Yes,5000,24,10689.3344
750,Face,32_128,None,Yes,2000,12,43535.9987
1000,Speech Services,16_64,NV12s v3,Yes,1000,18,65399.9078
500,Face,8_32,NV12s v3,No,0,12,29491.5708
100,Speaker,32_128,NC12 Promo,Yes,5000,3,9259.7149
1000,Immersive Reader,32_128,NC12,Yes,0,12,59174.6387
250,Immersive Reader,64_256,NV12,No,100,6,27495.609
1000,Text Analytics,16_64,NV12,No,5000,6,61311.4426
750,None,64_256,NV12,No,0,6,56102.679
250,Text Analytics,32_128,NV12s v3,No,100,18,32457.1994
500,Speech Services,32_128,NC12,Yes,2000,3,32890.2349
50,Face,4_16,NV12s v3,Yes,1000,3,3939.5309
1000,Speaker,16_64,NV12,No,0,6,61296.2226
750,None,64_256,None,Yes,1000,3,48745.0595
100,Immersive Reader,64_256,NC12,No,500,18,41876.737
500,None,64_256,NC12,Yes,1000,6,41580.779
100,None,16_64,None,No,2000,36,5902.2116
1000,Speech Services,64_256,NV12s v3,No,100,3,63791.6595
500,Face,32_128,NC12,Yes,2000,18,47387.2694
750,Speaker,8_32,NV12s v3,Yes,500,18,47406.2108
100,Immersive Reader,4_16,NC12 Promo,Yes,2000,18,8198.7154
750,Speech Services,32_128,NC12 Promo,Yes,5000,18,60945.4294
250,Face,8_32,NV12s v3,No,2000,12,15205.1808
50,Immersive Reader,16_64,NC12 Promo,Yes,100,12,3708.3216
250,Speech Services,16_64,NV12,Yes,2000,3,17143.3513
1000,Face,32_128,None,Yes,5000,36,57658.6059
100,Text Analytics,32_128,None,Yes,500,3,8634.4349
100,Speaker,64_256,NC12,No,0,18,41872.257
250,None,8_32,NV12,Yes,500,6,17133.0636
50,Face,16_64,NV12,Yes,1000,18,11853.9678
50,Speech Services,64_256,None,No,500,3,8671.2895
50,Immersive Reader,4_16,NC12,Yes,1000,18,6085.6454
50,Face,4_16,NV12s v3,Yes,100,6,4236.0918
1000,None,16_64,None,Yes,100,18,64639.3778
750,Speech Services,4_16,NV12,Yes,5000,6,45153.8318
1000,Speaker,64_256,NV12,No,100,12,59996.7321
750,Speaker,64_256,NC12,No,0,12,45451.5821
50,Face,8_32,NC12 Promo,Yes,500,12,3589.8308
100,Face,16_64,NC12 Promo,No,1000,18,13731.5178
500,Speaker,4_16,NV12,Yes,5000,12,30301.3304
750,Face,32_128,NC12 Promo,No,2000,6,49346.9898
100,None,16_64,NC12,Yes,100,12,7318.0316
1000,None,64_256,None,No,1000,18,92043.337
50,Speaker,16_64,NV12,No,2000,3,5709.7013
250,None,32_128,NC12 Promo,Yes,500,3,17813.5049
500,Speaker,64_256,NV12,Yes,2000,12,31394.7621
500,None,16_64,None,No,2000,3,29875.7513
100,Text Analytics,4_16,NC12,No,5000,6,7718.4418
100,Immersive Reader,32_128,NV12,No,2000,12,7911.9887
250,Immersive Reader,64_256,None,No,2000,24,60721.976
250,Speaker,4_16,NV12,Yes,100,12,15967.5404
100,Immersive Reader,64_256,NC12 Promo,No,2000,12,7507.2821
500,None,32_128,NV12s v3,Yes,0,3,32267.3049
750,Face,8_32,NV12s v3,No,0,3,44298.2418
250,Face,4_16,NV12,No,5000,12,15979.9604
750,Immersive Reader,64_256,None,No,2000,18,77746.507
1000,Text Analytics,4_16,NC12,Yes,5000,12,58677.3404
50,Speech Services,4_16,NV12,No,5000,18,6319.9854
750,Immersive Reader,32_128,NV12,No,1000,12,45111.8587
250,Immersive Reader,32_128,NV12s v3,Yes,5000,3,17994.0149
750,None,64_256,NV12s v3,Yes,5000,3,49505.5795
500,Speech Services,64_256,NC12 Promo,No,5000,12,30402.0021
1000,Speaker,64_256,NC12 Promo,Yes,1000,12,59024.2321
1000,Speech Services,8_32,NV12s v3,No,1000,6,59239.8836
1000,Speaker,8_32,NV12s v3,Yes,0,3,58619.6018
1000,None,8_32,None,Yes,5000,36,57346.5858
1000,None,32_128,NC12,Yes,500,6,64397.0098
750,None,16_64,NC12,Yes,0,18,51671.7678
1000,Speaker,8_32,None,No,500,3,57882.6318
750,Speaker,16_64,None,No,1000,6,45426.3426
500,Speaker,32_128,NV12s v3,No,500,12,29974.1787
50,None,16_64,NV12,Yes,100,3,5677.5213
500,Speaker,32_128,NV12s v3,No,100,12,29968.2087
750,Immersive Reader,32_128,NC12,No,0,3,47183.7549
50,Face,16_64,None,No,100,24,12729.1604
250,None,4_16,NC12,No,1000,12,15735.6204
1000,Speech Services,4_16,NV12,Yes,1000,12,58894.9804
1000,Speaker,8_32,NC12 Promo,Yes,500,3,58475.7418
1000,Immersive Reader,32_128,NC12,No,500,3,61505.3149
250,Face,64_256,None,Yes,500,3,20122.0895
250,Immersive Reader,32_128,NC12 Promo,No,1000,12,15507.5587
250,Face,16_64,NV12,No,5000,18,23313.8278
1000,Speech Services,64_256,NV12,No,100,3,64620.5995
100,Face,8_32,NV12,Yes,2000,18,11029.8108
500,None,64_256,NC12 Promo,Yes,2000,12,30396.0421
100,Speech Services,64_256,None,No,500,3,11533.2695
50,Face,4_16,NC12,Yes,0,3,4521.3209
750,None,8_32,NC12 Promo,Yes,500,3,44151.5218
500,Speech Services,32_128,NC12 Promo,No,0,6,35010.6498
500,Speech Services,64_256,NC12,Yes,0,3,35765.5195
500,None,8_32,NC12,No,1000,3,30602.4218
250,Speech Services,16_64,NV12,Yes,1000,3,17137.3913
250,Speaker,4_16,NV12,Yes,2000,6,16542.2918
500,Immersive Reader,32_128,NV12,No,5000,3,33132.8949
50,Face,4_16,NV12,No,500,18,6304.9654
250,Face,32_128,NV12,Yes,5000,6,21717.5098
500,Text Analytics,4_16,NC12 Promo,Yes,5000,6,29859.4718
1000,Speaker,16_64,None,No,2000,18,64671.5578
250,Text Analytics,16_64,None,Yes,500,24,24180.2104
1000,Face,8_32,NC12,No,500,3,59219.1818
500,None,8_32,NV12s v3,No,2000,6,30625.9836
1000,Speech Services,32_128,NV12s v3,No,2000,6,63809.5498
1000,Immersive Reader,32_128,NV12,Yes,0,12,59404.1987
100,Text Analytics,4_16,NV12,Yes,100,12,7367.2904
100,Immersive Reader,64_256,NC12,Yes,0,6,18674.429
50,Speaker,8_32,None,No,0,36,2953.6258
750,Speech Services,32_128,NC12,No,1000,12,44875.1587
50,None,16_64,NV12,No,1000,3,5689.4513
100,Speech Services,32_128,NV12s v3,No,1000,6,12287.8298
250,Face,16_64,NV12,No,5000,3,17152.1713
250,Face,16_64,NV12,Yes,1000,6,18372.5826
1000,Face,8_32,NC12,Yes,100,3,59213.2118
50,Speech Services,4_16,NV12,Yes,2000,6,5080.0618
500,Speaker,16_64,NC12 Promo,No,500,12,29479.3216
500,Speaker,64_256,NV12s v3,Yes,100,18,64174.437
250,Immersive Reader,64_256,NC12,No,5000,18,50480.577
50,Face,8_32,None,Yes,2000,24,7824.2544
500,None,32_128,NC12,No,2000,3,32890.2349
500,Immersive Reader,4_16,NC12,No,0,6,30591.9718
100,Face,4_16,NC12,Yes,1000,18,8943.3454
750,Speaker,64_256,NV12,Yes,5000,3,50348.8095
50,Speaker,4_16,NC12 Promo,Yes,100,3,3783.5409
1000,Speaker,4_16,NC12 Promo,No,5000,12,57936.7604
500,Text Analytics,16_64,NC12 Promo,Yes,0,3,30445.3113
50,None,32_128,NV12,No,500,18,21844.1694
1000,Speaker,32_128,NC12 Promo,No,500,18,75251.7694
50,Face,4_16,None,No,500,36,2915.1529
100,Speaker,4_16,NC12 Promo,No,0,3,6639.8609
250,None,4_16,NC12,Yes,5000,3,15995.9109
500,Face,32_128,NV12s v3,Yes,1000,6,35186.5898
750,Face,64_256,NV12,No,1000,6,56123.129
100,Speech Services,4_16,NV12,Yes,500,6,7930.1218
50,Face,16_64,NC12 Promo,Yes,2000,3,4713.8413
100,Text Analytics,32_128,NC12 Promo,No,1000,12,6914.4587
250,Speech Services,64_256,None,Yes,1000,12,15487.0321
500,Text Analytics,16_64,None,No,2000,24,38502.0704
1000,Speech Services,16_64,NC12,Yes,5000,18,66011.2078
750,Speech Services,64_256,None,No,0,12,44089.3121
50,None,8_32,NV12,Yes,1000,12,4577.3608
250,None,8_32,NC12,Yes,5000,6,16921.3836
50,None,16_64,NC12,No,1000,6,6692.2226
250,Speaker,64_256,None,No,1000,3,20139.4795
750,Text Analytics,16_64,NV12s v3,No,100,18,51078.0478
500,Face,4_16,None,No,0,12,28682.8504
500,None,16_64,NC12 Promo,No,1000,6,31695.2326
1000,Immersive Reader,4_16,NC12,No,0,6,59211.8318
250,None,8_32,NV12,No,1000,18,19606.9508
50,None,16_64,None,Yes,0,6,5326.6526
250,Face,64_256,None,Yes,2000,6,25931.679
100,Immersive Reader,4_16,NV12,Yes,500,12,7380.4004
750,Speaker,32_128,NV12s v3,Yes,500,18,61097.3294
750,Immersive Reader,64_256,NC12 Promo,Yes,2000,18,78339.617
750,None,8_32,NV12,No,100,12,44633.2408
100,Face,4_16,NC12,Yes,0,18,8925.7554
1000,Face,8_32,NC12 Promo,Yes,2000,18,61561.1408
500,None,64_256,NV12s v3,No,1000,6,40981.399
1000,Face,64_256,NC12 Promo,No,0,6,69431.039
1000,Face,16_64,None,No,500,18,64648.2078
250,None,8_32,NC12,Yes,100,6,16897.5336
750,Immersive Reader,32_128,NV12,Yes,1000,3,47430.9049
500,None,32_128,NV12,No,5000,3,33125.7549
250,Face,8_32,NC12,Yes,100,18,19368.3208
100,Immersive Reader,32_128,NC12 Promo,Yes,1000,12,6921.5987
100,Immersive Reader,4_16,None,No,500,3,6051.2309
1000,Speech Services,64_256,NV12s v3,No,5000,3,63815.5095
500,None,8_32,NC12,Yes,1000,3,30602.4218
50,None,64_256,NC12,Yes,100,12,5375.1421
250,Speech Services,32_128,NV12s v3,No,0,6,20856.1998
1000,Face,8_32,NV12,No,1000,12,58957.9608
50,Face,64_256,NC12 Promo,No,1000,6,15070.889
100,Text Analytics,32_128,NC12 Promo,No,1000,18,23727.6794
500,Speech Services,16_64,NV12,Yes,500,12,30449.4616
50,Face,32_128,None,Yes,1000,24,26073.1192
1000,None,32_128,NC12 Promo,Yes,1000,18,75243.4394
250,Text Analytics,8_32,NV12s v3,No,100,12,15184.4308
1000,Text Analytics,64_256,NV12s v3,No,1000,12,59165.4321
250,Immersive Reader,8_32,None,Yes,2000,6,15574.5836
250,None,8_32,NC12 Promo,Yes,5000,3,15549.5318
500,Face,4_16,NV12,Yes,5000,3,30538.2709
250,Face,4_16,NC12,Yes,1000,18,17529.3054
50,Immersive Reader,32_128,NV12s v3,No,0,12,4197.5187
50,Text Analytics,4_16,None,Yes,0,6,3478.9718
100,Speaker,64_256,NV12,No,100,3,13119.1295
50,Speaker,8_32,NC12,Yes,2000,12,4368.0508
500,Face,64_256,NC12,Yes,500,18,64768.357
250,Speech Services,32_128,NV12,Yes,100,6,21690.7998
100,None,8_32,NC12,Yes,500,3,7700.5618
250,Immersive Reader,64_256,NV12,No,100,6,27495.609
50,Speech Services,8_32,NV12,No,100,18,8147.0808
250,Face,4_16,None,No,1000,36,14369.0529
250,Immersive Reader,8_32,None,No,5000,12,14466.8208
250,Text Analytics,16_64,None,No,0,3,15542.2613
100,Text Analytics,4_16,NV12s v3,No,0,6,7089.5518
100,Face,8_32,NC12 Promo,Yes,5000,3,6966.4318
750,Text Analytics,16_64,NC12,No,2000,18,51695.3178
500,Speech Services,4_16,NV12,No,5000,12,30287.0404
1000,Speaker,4_16,NC12,Yes,1000,6,59236.5718
50,None,64_256,NC12,Yes,2000,6,15828.859
750,Face,16_64,NV12,No,0,3,45742.5313
1000,Text Analytics,8_32,NV12s v3,Yes,500,18,61701.8508
1000,Speech Services,32_128,None,No,0,3,60138.5649
50,None,4_16,NV12,Yes,5000,12,4529.1604
100,None,16_64,None,Yes,5000,6,8218.1426
250,Speaker,8_32,NC12 Promo,Yes,2000,18,18642.7708
50,Speaker,16_64,NC12,Yes,5000,18,11647.7578
1000,Speaker,16_64,NV12,No,1000,3,60081.4813
250,Speaker,32_128,NV12,Yes,2000,6,21722.9798
250,Speaker,64_256,NC12 Promo,No,0,18,49703.347
1000,None,16_64,NC12,Yes,500,12,58839.7616
500,Speech Services,8_32,NC12 Promo,No,5000,6,30476.4536
750,Speaker,4_16,NV12,No,0,6,45138.6118
500,Immersive Reader,16_64,NV12s v3,No,500,3,30619.5713
500,Face,4_16,NC12,Yes,2000,6,30611.2418
750,Speaker,4_16,NC12 Promo,Yes,500,12,43608.9504
100,Speech Services,8_32,NV12,No,2000,6,8559.0236
250,Speech Services,4_16,NC12,Yes,100,6,16280.5518
1000,Text Analytics,64_256,NV12s v3,Yes,0,6,69583.669
250,Speaker,8_32,None,Yes,0,18,18026.1108
100,Immersive Reader,64_256,NC12 Promo,Yes,100,3,12127.5495
100,Immersive Reader,8_32,NV12s v3,No,100,12,6605.6108
250,Text Analytics,64_256,NV12,Yes,1000,6,27500.399
50,Text Analytics,16_64,NC12,Yes,0,6,6674.6326
1000,None,4_16,NC12,Yes,500,3,58907.8309
250,Immersive Reader,64_256,NC12,No,500,12,16836.1921
750,Speaker,8_32,None,Yes,0,3,43561.0718
750,Speaker,32_128,NV12s v3,Yes,1000,6,49507.9498
50,None,32_128,NV12s v3,No,0,3,6509.4249
1000,Text Analytics,32_128,None,Yes,500,24,80442.0392
500,None,8_32,NV12,No,0,18,33899.3008
750,Speaker,16_64,None,Yes,0,18,50338.0778
100,None,16_64,NV12s v3,Yes,500,18,13878.1878
100,Speaker,32_128,NV12s v3,No,100,12,7072.3087
50,Face,64_256,NC12 Promo,Yes,2000,18,38267.527
1000,Immersive Reader,64_256,NC12 Promo,Yes,5000,12,59029.0021
750,Text Analytics,32_128,NV12,No,2000,3,47429.7249
250,Immersive Reader,32_128,NC12 Promo,Yes,1000,6,20725.4398
250,None,4_16,NC12 Promo,No,500,18,16765.6154
250,Immersive Reader,64_256,NC12 Promo,No,1000,3,20725.4395
1000,Speaker,32_128,None,Yes,1000,36,57658.1159
500,Text Analytics,4_16,NC12 Promo,Yes,1000,6,29847.5518
500,Speech Services,8_32,NV12s v3,Yes,2000,18,33093.9108
50,Text Analytics,4_16,NC12,Yes,100,6,4832.6118
250,Speaker,8_32,NC12,Yes,5000,12,15821.9508
750,Text Analytics,4_16,NC12 Promo,Yes,5000,18,45403.3654
100,None,16_64,None,No,1000,12,5981.9816
250,Face,16_64,NC12 Promo,No,1000,6,17388.1526
50,Immersive Reader,4_16,NV12s v3,No,500,6,4246.3418
100,Speech Services,8_32,NC12,Yes,2000,6,8329.4636
50,Text Analytics,8_32,NV12s v3,Yes,5000,18,7341.9908
750,Text Analytics,64_256,NV12s v3,Yes,5000,6,55303.249
100,Immersive Reader,8_32,NC12 Promo,No,1000,18,10043.7008
50,Speech Services,8_32,NV12,Yes,5000,6,5703.0036
750,Speaker,8_32,NC12 Promo,Yes,1000,18,47256.6808
1000,None,8_32,None,No,5000,36,57346.5858
750,Speech Services,16_64,NV12,Yes,2000,12,44771.3116
50,Text Analytics,4_16,NC12,Yes,0,3,4518.4609
1000,Speech Services,4_16,None,No,0,24,59707.6572
1000,Speech Services,32_128,NC12,Yes,2000,12,59191.0487
1000,Face,4_16,None,No,500,12,57314.3404
1000,Immersive Reader,64_256,None,Yes,0,6,68842.209
100,Face,8_32,NC12,Yes,0,6,8308.7736
250,Speaker,8_32,None,Yes,2000,12,14468.0108
250,None,32_128,NV12,Yes,100,6,21690.7998
250,Face,8_32,None,Yes,100,18,18020.3408
250,Text Analytics,4_16,NV12s v3,Yes,0,18,16909.4754
500,Face,4_16,NC12 Promo,Yes,5000,18,31096.2954
1000,Face,32_128,NC12 Promo,No,1000,18,75246.2994
250,Speaker,64_256,NV12s v3,Yes,0,6,26668.159
250,Speaker,32_128,None,Yes,2000,36,14734.2759
1000,Speaker,16_64,NV12s v3,Yes,500,18,65408.2378
1000,Speech Services,4_16,NV12s v3,Yes,500,3,58308.4509
50,Speech Services,4_16,NV12,No,1000,6,5074.1018
500,Face,8_32,NV12s v3,Yes,500,6,30616.9236
500,Speaker,16_64,None,Yes,2000,18,36051.6978
500,Speaker,64_256,NC12,No,2000,18,64791.707
500,None,16_64,NC12,Yes,1000,6,32450.1026
250,None,32_128,NC12,No,5000,18,33080.4294
250,Speech Services,4_16,NC12 Promo,Yes,0,6,15520.0218
250,Speech Services,32_128,NV12,Yes,500,12,16478.8887
1000,Speaker,32_128,NV12,No,500,18,76236.1994
500,Speaker,4_16,None,Yes,2000,36,28696.3829
100,Text Analytics,64_256,NC12,Yes,500,18,41869.597
100,None,16_64,None,Yes,0,3,6956.3013
750,Text Analytics,16_64,NV12,Yes,1000,18,51918.9178
1000,Immersive Reader,16_64,NC12,Yes,5000,12,58864.7816
100,Speech Services,16_64,NC12 Promo,No,5000,3,7578.9213
500,Speaker,8_32,NC12,No,100,12,30108.0408
100,None,64_256,NC12,Yes,2000,3,12893.1695
50,Speaker,64_256,NC12 Promo,No,2000,18,38278.957
100,Speaker,16_64,NC12,No,0,3,8318.5713
100,None,4_16,NV12,Yes,5000,18,9181.9654
500,Immersive Reader,32_128,NV12,Yes,2000,12,30807.8887
750,Speech Services,64_256,NV12s v3,Yes,500,18,78476.047
250,None,32_128,NC12 Promo,Yes,2000,12,15506.3787
