Data Storage (GB),Software Licenses,Type of machine,GPU,File import,Export file size (MB),Time period,Cost in pounds
500,Face,32_128,NC12,Yes,1000,3,32887.1349
750,Text Analytics,8_32,NC12,No,5000,18,48009.1808
100,Speaker,64_256,NC12,Yes,1000,18,41889.847
500,Text Analytics,8_32,NV12s v3,Yes,5000,6,30631.9436
100,Immersive Reader,16_64,NC12,No,100,6,9549.4126
100,Immersive Reader,16_64,NC12 Promo,Yes,0,3,7556.5513
100,Speaker,32_128,NV12s v3,Yes,2000,6,12308.0798
100,Immersive Reader,32_128,None,No,0,36,6117.6159
500,None,32_128,NC12,No,1000,3,32884.2749
250,Immersive Reader,32_128,NV12,Yes,1000,3,18811.0349
50,Speaker,32_128,NC12,Yes,500,18,21628.8994
1000,None,4_16,NC12,Yes,500,18,60450.2854
1000,Immersive Reader,64_256,NC12,No,500,3,64404.1495
100,Speaker,16_64,NV12,Yes,1000,3,8565.7213
1000,None,8_32,NC12,No,1000,12,58725.5408
500,Face,64_256,None,No,2000,6,40241.619
50,Speaker,16_64,None,No,5000,6,5370.4526
500,Face,16_64,None,Yes,5000,18,36046.2278
750,None,8_32,NC12,No,5000,18,48009.1808
1000,Immersive Reader,32_128,NV12,No,0,3,61723.2449
100,Immersive Reader,32_128,NC12 Promo,Yes,100,12,6909.6687
100,Text Analytics,32_128,NV12,Yes,2000,6,13122.7298
750,Speaker,64_256,NC12 Promo,No,2000,12,44720.2621
500,Speaker,4_16,None,No,2000,12,28717.8304
1000,Speech Services,16_64,NV12,No,100,12,59063.3516
500,Face,8_32,NV12s v3,No,2000,3,30011.8618
50,Immersive Reader,32_128,NC12 Promo,No,5000,6,9289.4198
750,Speech Services,32_128,NV12,Yes,500,3,47417.8049
100,Face,4_16,NV12,Yes,1000,12,7382.0804
750,Face,16_64,None,No,2000,18,50350.1978
500,Immersive Reader,32_128,NV12,Yes,1000,12,30801.9287
1000,Face,32_128,NV12s v3,Yes,500,6,63800.4898
100,Speaker,4_16,NV12,No,1000,12,7393.5104
250,Text Analytics,8_32,NC12,No,1000,3,16292.4818
500,Speaker,64_256,None,No,1000,12,29811.2621
750,Speaker,64_256,NC12,No,0,18,79078.087
500,Face,4_16,NV12s v3,No,5000,18,31251.7854
750,Speech Services,32_128,NC12,Yes,5000,18,61700.2994
750,None,32_128,None,No,100,12,43515.2487
500,Text Analytics,32_128,NV12s v3,Yes,1000,12,29965.8487
500,Text Analytics,4_16,NV12s v3,No,1000,6,30003.0418
100,Text Analytics,8_32,NC12,No,100,3,7694.5918
50,None,32_128,NV12s v3,No,2000,6,9431.8098
500,Speaker,64_256,NC12 Promo,No,100,6,40828.269
250,Text Analytics,16_64,NC12 Promo,No,100,12,15149.1216
750,Face,64_256,NV12,No,5000,6,56135.049
100,Speaker,8_32,NC12,Yes,2000,6,8343.7536
500,Immersive Reader,4_16,NC12 Promo,Yes,1000,18,31088.6554
250,Face,64_256,NC12,No,1000,18,50464.377
1000,Text Analytics,4_16,NV12,Yes,1000,6,59451.8418
100,Speaker,4_16,NC12,Yes,2000,6,7726.7718
750,Face,32_128,NC12,Yes,500,18,61685.2794
50,Face,32_128,NV12,No,0,12,5022.1787
50,Face,16_64,NV12,No,1000,3,5692.3113
1000,Face,64_256,None,No,5000,36,58045.1281
750,Immersive Reader,64_256,NC12 Promo,Yes,5000,3,49357.2295
250,None,4_16,None,No,1000,18,16178.4654
50,None,64_256,NV12,No,500,12,5610.6721
250,Speaker,4_16,NC12 Promo,No,1000,6,15551.9018
500,Immersive Reader,32_128,NC12,No,1000,6,35790.2498
100,Speech Services,32_128,NV12s v3,No,500,3,9383.0349
1000,Immersive Reader,32_128,NC12,Yes,500,12,59186.2687
250,Text Analytics,16_64,NV12s v3,No,2000,3,16314.4113
1000,Speaker,16_64,None,No,100,24,67118.3304
100,Text Analytics,16_64,NC12,No,500,12,7324.0016
250,Face,64_256,NC12 Promo,Yes,5000,6,26530.749
250,Face,32_128,NV12s v3,Yes,0,12,15641.1787
1000,Face,32_128,NC12,Yes,0,18,75983.5794
1000,Immersive Reader,4_16,NC12 Promo,No,100,3,58154.1309
500,Speech Services,8_32,None,No,5000,12,28769.6208
250,Immersive Reader,16_64,NC12,Yes,5000,3,16926.8913
100,Face,4_16,NC12,No,0,18,8925.7554
100,Face,8_32,NC12 Promo,Yes,500,12,6451.8108
750,Immersive Reader,4_16,NV12s v3,No,0,6,44302.5218
750,Face,16_64,NV12s v3,Yes,500,18,51086.8778
100,None,8_32,NV12s v3,Yes,100,6,7712.1936
750,Speaker,4_16,NV12s v3,Yes,500,3,44012.8109
250,Face,32_128,NV12s v3,Yes,1000,3,17977.8149
250,Speaker,8_32,None,No,1000,36,14419.1558
1000,Speaker,16_64,NV12,Yes,100,6,61301.8826
250,Speaker,16_64,None,No,0,24,24182.8704
100,Text Analytics,16_64,NV12s v3,Yes,100,3,7710.5613
1000,Speech Services,16_64,NV12s v3,Yes,100,18,65387.9778
100,Text Analytics,64_256,NC12,No,100,12,8237.1221
750,Speaker,64_256,NV12,Yes,500,18,79319.277
500,None,4_16,None,Yes,500,36,28670.1729
250,Face,16_64,NC12 Promo,Yes,1000,12,15163.9116
500,Immersive Reader,64_256,NV12s v3,No,500,6,40982.579
100,Speech Services,8_32,None,Yes,2000,6,6981.4836
500,Speech Services,4_16,NV12s v3,No,1000,12,29446.1804
250,Text Analytics,64_256,NC12,No,500,18,50455.557
750,Immersive Reader,4_16,None,No,100,36,42981.2729
750,None,32_128,None,No,5000,3,45858.1449
1000,Speech Services,4_16,NC12,No,1000,6,59222.2818
500,Immersive Reader,4_16,None,No,1000,12,28704.7204
100,Speech Services,16_64,NC12 Promo,Yes,5000,18,13740.5778
500,Immersive Reader,64_256,NV12s v3,No,100,6,40976.609
250,Text Analytics,64_256,NC12 Promo,No,100,18,49694.717
100,Text Analytics,64_256,NV12,Yes,100,6,18902.509
100,Speaker,4_16,NV12,Yes,2000,6,7956.3318
100,Face,16_64,None,Yes,100,18,13126.4778
750,Immersive Reader,32_128,NC12 Promo,Yes,2000,18,60946.6094
750,Speech Services,16_64,NV12s v3,No,100,12,43924.4816
500,Immersive Reader,64_256,NV12,Yes,2000,18,65014.117
500,None,32_128,None,No,100,36,29012.0359
500,Speech Services,16_64,NV12s v3,Yes,5000,3,30630.3113
500,Speech Services,4_16,None,Yes,5000,18,30500.3254
50,Immersive Reader,16_64,None,Yes,5000,6,5363.3026
50,Speech Services,8_32,NC12,No,1000,18,7929.4508
50,Immersive Reader,4_16,NC12,No,1000,12,4294.8204
250,Immersive Reader,4_16,NC12 Promo,No,100,12,14975.9604
50,Immersive Reader,32_128,NV12s v3,No,2000,12,4221.0687
50,Text Analytics,4_16,None,Yes,0,24,5329.9172
50,None,32_128,None,Yes,5000,24,26082.1792
100,Immersive Reader,32_128,NC12,No,1000,18,24489.6894
750,Speaker,16_64,NC12 Promo,Yes,0,12,43777.6216
750,None,4_16,NV12,Yes,1000,12,44585.0504
50,Immersive Reader,32_128,NV12s v3,No,500,3,6528.1949
100,Text Analytics,8_32,NC12,No,0,12,7192.1908
50,Face,32_128,NV12s v3,Yes,0,12,4193.2387
250,Speech Services,16_64,NV12s v3,No,1000,12,15316.5416
500,Speaker,4_16,NC12 Promo,Yes,0,12,29287.3904
500,Speaker,64_256,NV12s v3,Yes,1000,6,40995.689
250,Text Analytics,32_128,NV12,No,0,12,16467.2587
250,Speaker,8_32,NC12 Promo,Yes,5000,18,18648.7308
100,Face,32_128,None,Yes,0,18,23119.8394
1000,Speech Services,8_32,None,Yes,500,24,62187.2144
50,Text Analytics,4_16,NC12 Promo,No,100,12,3520.8804
500,Immersive Reader,8_32,None,Yes,100,36,28710.0158
1000,Face,4_16,NV12,No,0,3,59128.6209
500,Immersive Reader,32_128,NV12,No,0,12,30784.3387
250,Text Analytics,4_16,None,No,0,12,14370.0504
100,Text Analytics,32_128,NC12,Yes,5000,3,10000.2949
500,Speech Services,32_128,NC12 Promo,No,0,12,29792.7687
100,Immersive Reader,16_64,None,No,500,3,6975.0713
250,Immersive Reader,32_128,NC12,No,100,6,21468.3798
50,Speaker,16_64,NC12,Yes,0,18,11618.2478
250,None,4_16,NC12,No,500,12,15729.6604
100,Speaker,4_16,NV12s v3,No,5000,18,8367.3154
50,Immersive Reader,16_64,NV12s v3,No,5000,3,4879.5713
750,Text Analytics,4_16,NV12s v3,Yes,100,6,44301.0418
100,Immersive Reader,16_64,NC12,No,500,12,7331.1416
100,Immersive Reader,64_256,NC12,No,0,3,12876.7595
750,Immersive Reader,8_32,NV12s v3,No,100,12,43811.4408
1000,None,32_128,None,Yes,0,12,57819.5187
1000,Immersive Reader,32_128,None,Yes,100,12,57832.3187
500,Immersive Reader,4_16,NC12,Yes,500,3,30295.1109
250,Speaker,64_256,NV12s v3,No,500,6,26679.789
50,Face,64_256,NV12,No,2000,18,39251.957
500,Speech Services,32_128,None,Yes,5000,12,29229.1687
750,None,32_128,NC12,Yes,2000,12,44881.1187
1000,Face,32_128,NV12s v3,Yes,500,6,63800.4898
50,Text Analytics,8_32,NV12s v3,No,0,18,7312.4808
250,Immersive Reader,64_256,None,No,5000,6,25941.919
1000,Face,16_64,NV12,No,0,12,59060.5516
750,Face,32_128,NC12 Promo,Yes,2000,12,44129.1087
250,Text Analytics,4_16,None,No,100,36,14354.2629
1000,Face,16_64,NV12,No,5000,12,59090.0616
500,Speech Services,4_16,NV12s v3,No,2000,6,30009.0018
1000,None,64_256,None,Yes,1000,3,63054.9895
750,Face,32_128,NC12,Yes,2000,12,44883.9787
250,Immersive Reader,64_256,NC12,Yes,5000,12,16854.0721
500,Speaker,8_32,NC12,No,100,18,33689.6908
50,Face,64_256,None,No,2000,3,8686.0695
1000,Face,64_256,None,Yes,0,36,58015.6181
50,None,8_32,NC12,Yes,0,3,4826.9518
750,Immersive Reader,16_64,NV12,No,1000,18,51926.0578
250,None,16_64,NC12 Promo,Yes,100,3,16141.0313
750,Immersive Reader,4_16,NC12,Yes,2000,6,44925.4518
100,Immersive Reader,4_16,NC12 Promo,No,1000,6,6958.7918
50,Immersive Reader,32_128,NC12 Promo,Yes,100,18,20860.9094
750,None,64_256,NC12,Yes,1000,6,55890.709
50,Speaker,64_256,NV12s v3,Yes,2000,3,9446.0995
250,Speaker,16_64,NV12s v3,Yes,0,3,16305.1513
1000,None,16_64,NV12,No,5000,6,61311.4426
1000,Face,16_64,NV12s v3,Yes,500,3,59235.1513
500,Immersive Reader,32_128,None,Yes,1000,18,46037.6094
100,Speech Services,8_32,NV12,No,5000,18,11032.9108
1000,None,8_32,NC12,Yes,0,18,62289.6008
50,Speaker,32_128,None,Yes,0,6,8673.9498
500,Immersive Reader,16_64,None,Yes,100,18,36026.6578
50,Face,4_16,NC12,Yes,100,12,4278.6104
500,None,64_256,NV12s v3,No,100,6,40969.469
500,Immersive Reader,16_64,NV12s v3,Yes,0,12,29616.0316
50,Immersive Reader,8_32,None,Yes,5000,36,2975.9858
750,Speaker,64_256,NV12,Yes,100,12,45686.8021
500,None,64_256,NC12 Promo,Yes,5000,12,30402.0021
500,Speaker,8_32,None,Yes,1000,12,28771.9908
100,Speaker,64_256,NV12,Yes,5000,6,18940.649
1000,Face,4_16,NV12s v3,Yes,0,6,58608.1718
100,None,64_256,None,Yes,500,6,17330.939
500,Speech Services,16_64,NV12,Yes,0,18,37591.3978
750,Immersive Reader,4_16,NC12 Promo,No,2000,18,45404.5454
250,Speaker,16_64,None,No,2000,36,14502.4616
1000,Immersive Reader,16_64,NV12,Yes,0,12,59064.8316
100,Immersive Reader,64_256,None,Yes,1000,6,17344.039
250,Text Analytics,4_16,None,No,100,3,14624.0809
50,Speech Services,16_64,None,Yes,1000,36,3034.2716
1000,Face,4_16,None,Yes,2000,3,57574.6309
500,Text Analytics,8_32,NC12,Yes,0,3,30584.8318
500,Speech Services,4_16,NV12s v3,Yes,0,12,29428.5904
100,Immersive Reader,64_256,NV12s v3,No,500,6,18086.679
50,Face,32_128,NC12,Yes,1000,12,4810.2087
250,Text Analytics,16_64,NV12s v3,Yes,0,6,17523.1926
750,None,4_16,NC12,Yes,500,3,44597.9009
1000,Immersive Reader,8_32,NC12,No,5000,6,59858.3236
750,Immersive Reader,16_64,NV12s v3,No,100,18,51085.1878
1000,Speech Services,8_32,NV12,Yes,100,3,59439.9118
250,Face,4_16,None,No,5000,12,14402.4204
750,None,4_16,NV12,No,500,3,44827.4609
750,Speech Services,8_32,NV12s v3,Yes,5000,12,43828.1508
750,Text Analytics,4_16,NC12 Promo,No,5000,18,45403.3654
100,Speech Services,4_16,NC12,Yes,2000,3,7403.9909
250,Speech Services,8_32,None,Yes,1000,18,18029.4108
500,Immersive Reader,16_64,NC12,No,1000,6,32457.2426
100,Face,4_16,NV12s v3,Yes,100,18,8332.0354
500,Face,32_128,NC12,Yes,5000,3,32899.0549
1000,None,8_32,None,No,2000,24,62199.1344
750,None,4_16,NV12s v3,No,2000,18,45552.8954
1000,None,4_16,NV12,Yes,100,18,60673.8754
100,Text Analytics,64_256,NC12 Promo,Yes,2000,12,7500.1421
500,Text Analytics,16_64,NC12 Promo,No,100,12,29459.0616
250,Speech Services,64_256,NV12s v3,No,5000,6,26683.379
100,Text Analytics,32_128,NV12,No,100,18,24700.1794
1000,Text Analytics,64_256,NC12 Promo,No,100,3,63636.1695
250,Text Analytics,16_64,None,No,5000,12,14579.8616
1000,None,32_128,NV12s v3,Yes,5000,18,75410.8494
750,Immersive Reader,16_64,NC12,Yes,500,3,45528.8813
250,Face,64_256,NV12,No,5000,3,21717.5095
